,age,income,friends,attempt_suicide,Virgin,Depressed,Social_Fear,gender,sexuallity,bodyweight
457,18,5000.5,30.0,0,1,0,1,1,1,1
458,24,87499.5,11.0,0,0,0,1,1,1,1
459,23,44999.5,10.0,0,1,1,1,1,2,3
460,28,24999.5,1.0,0,0,0,1,1,1,1
461,18,5000.5,5.0,1,1,1,1,1,1,3
462,18,0,6.0,0,1,0,0,1,1,1
463,12,0,0.5,1,0,0,1,3,2,4
464,26,14999.5,10.0,0,1,0,1,2,1,3
465,31,34999.5,10.0,0,0,0,0,1,1,1
466,17,5000.5,20.0,1,1,1,1,2,1,1
467,18,0,16.0,0,1,1,1,1,1,4
468,28,44999.5,3.0,0,1,1,1,1,1,1
